               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041984,            0.020997,           0.0022109,             0.91621,              0.7917,             0.90393,             0.53654,            0.037459,            0.021371,           0.0037594,             0.06165,             0.06165,             0.06165
                  37,            0.041748,            0.020902,           0.0021651,             0.90385,             0.81442,             0.90592,             0.54645,            0.038686,            0.021019,           0.0027161,             0.06084,             0.06084,             0.06084
                  38,            0.041014,            0.021324,           0.0022026,              0.8946,             0.78109,             0.88051,             0.54053,            0.039751,            0.021218,           0.0040054,             0.06003,             0.06003,             0.06003
                  39,            0.041462,            0.020244,           0.0020788,             0.90265,             0.81846,             0.90445,             0.53743,            0.038927,            0.020899,           0.0037411,             0.05922,             0.05922,             0.05922
                  40,            0.040302,            0.020331,           0.0019929,             0.88426,             0.80348,             0.90405,             0.54952,            0.037875,            0.021204,           0.0040801,             0.05841,             0.05841,             0.05841
                  41,            0.040402,            0.020604,           0.0020701,             0.90649,             0.82999,             0.91849,             0.54893,            0.037317,            0.020624,           0.0033561,              0.0576,              0.0576,              0.0576
                  42,            0.040043,            0.020744,           0.0019921,             0.92043,             0.84612,             0.92475,             0.56752,            0.037506,            0.021126,           0.0031083,             0.05679,             0.05679,             0.05679
                  43,            0.040048,             0.02024,           0.0020066,             0.81639,              0.8248,             0.90131,             0.54252,            0.038127,            0.021396,           0.0030082,             0.05598,             0.05598,             0.05598
                  44,            0.039812,            0.019466,           0.0019558,             0.91403,             0.80649,             0.90784,             0.56047,            0.038304,            0.020894,           0.0039387,             0.05517,             0.05517,             0.05517
                  45,            0.040091,            0.020426,           0.0020256,             0.85481,             0.85825,             0.90382,             0.55963,            0.036098,            0.020597,           0.0032698,             0.05436,             0.05436,             0.05436
                  46,            0.039436,             0.02037,           0.0019575,             0.90706,             0.81718,             0.90198,             0.55299,            0.039382,            0.021024,           0.0037411,             0.05355,             0.05355,             0.05355
                  47,            0.038901,            0.019485,           0.0018305,             0.86349,             0.82808,             0.91106,             0.55683,            0.037031,            0.020271,           0.0026923,             0.05274,             0.05274,             0.05274
                  48,            0.038869,            0.019838,           0.0018898,             0.92527,             0.82497,             0.91261,              0.5645,            0.037978,            0.021744,           0.0033409,             0.05193,             0.05193,             0.05193
                  49,            0.038818,            0.019623,           0.0019332,             0.91615,             0.82965,             0.91285,             0.56435,            0.036861,            0.021067,           0.0036428,             0.05112,             0.05112,             0.05112
                  50,            0.038624,            0.020196,           0.0018566,             0.90025,             0.83618,             0.92224,             0.58508,            0.036132,            0.020183,           0.0021593,             0.05031,             0.05031,             0.05031
                  51,            0.038634,            0.019474,           0.0016667,             0.86756,             0.83125,             0.91151,             0.57573,            0.036674,             0.02116,           0.0028975,              0.0495,              0.0495,              0.0495
                  52,            0.038617,            0.020346,           0.0018754,             0.82436,             0.82419,             0.89505,             0.54361,            0.040682,            0.021405,           0.0050829,             0.04869,             0.04869,             0.04869
                  53,            0.038217,            0.019972,           0.0018667,             0.90922,             0.83212,             0.90167,             0.55665,            0.036641,            0.021053,           0.0032572,             0.04788,             0.04788,             0.04788
                  54,            0.038346,            0.020303,           0.0018442,             0.87887,             0.84538,             0.91279,             0.56002,            0.037145,            0.020699,           0.0029565,             0.04707,             0.04707,             0.04707
                  55,            0.037901,            0.019831,           0.0019011,             0.89228,             0.81633,             0.91792,             0.57713,            0.036317,             0.02025,           0.0027608,             0.04626,             0.04626,             0.04626
                  56,            0.038496,            0.019598,           0.0018402,             0.89487,             0.84757,             0.91712,             0.57213,            0.035973,            0.020275,           0.0029943,             0.04545,             0.04545,             0.04545
                  57,            0.037616,            0.019535,           0.0019103,              0.8917,             0.85662,             0.92031,             0.56675,            0.036746,            0.020587,           0.0035911,             0.04464,             0.04464,             0.04464
                  58,             0.03798,            0.019432,           0.0018715,             0.93844,             0.76692,             0.91902,             0.56187,            0.035863,            0.020686,           0.0033004,             0.04383,             0.04383,             0.04383
                  59,            0.037269,            0.018885,           0.0016914,             0.87436,             0.82651,             0.89626,              0.5642,            0.037841,            0.021307,           0.0036119,             0.04302,             0.04302,             0.04302
                  60,            0.037192,            0.019477,           0.0017623,             0.91417,             0.83576,             0.90899,             0.57605,            0.037872,            0.021293,           0.0033029,             0.04221,             0.04221,             0.04221
                  61,            0.037115,             0.01899,            0.001874,             0.90377,             0.81562,             0.92189,             0.57634,            0.034514,            0.020572,           0.0027188,              0.0414,              0.0414,              0.0414
                  62,            0.036329,            0.019077,           0.0016723,             0.85619,             0.85225,             0.91809,             0.56598,            0.035735,            0.020876,           0.0034716,             0.04059,             0.04059,             0.04059
                  63,            0.036695,            0.019185,           0.0016848,             0.89852,             0.85248,             0.92487,              0.5652,            0.037133,            0.019532,            0.003715,             0.03978,             0.03978,             0.03978
                  64,            0.036539,              0.0194,           0.0016627,             0.95904,             0.83276,             0.93405,             0.58266,             0.03399,            0.019842,           0.0024129,             0.03897,             0.03897,             0.03897
                  65,            0.036145,            0.019217,           0.0016096,             0.88897,             0.86852,             0.92175,              0.5871,            0.035757,            0.021526,           0.0030541,             0.03816,             0.03816,             0.03816
                  66,             0.03591,            0.018695,           0.0015667,             0.88645,             0.84929,             0.92894,             0.58596,            0.035484,            0.020074,           0.0034726,             0.03735,             0.03735,             0.03735
                  67,            0.035508,            0.018663,           0.0015966,             0.85442,             0.86002,             0.92032,             0.58289,            0.035464,            0.019684,           0.0036199,             0.03654,             0.03654,             0.03654
                  68,            0.035623,             0.01882,           0.0016015,             0.89956,             0.83027,             0.91929,             0.58915,            0.034893,             0.02085,           0.0038698,             0.03573,             0.03573,             0.03573
                  69,            0.035141,            0.018787,           0.0016186,              0.8995,             0.83914,             0.92392,             0.57921,            0.034577,            0.019775,           0.0031857,             0.03492,             0.03492,             0.03492
                  70,             0.03578,            0.019327,           0.0017134,             0.88776,             0.86394,             0.92532,             0.57726,            0.034653,            0.020517,           0.0026799,             0.03411,             0.03411,             0.03411
                  71,            0.035653,            0.019103,           0.0016133,             0.91186,              0.8563,             0.92524,             0.58277,            0.034638,            0.019916,           0.0024764,              0.0333,              0.0333,              0.0333
                  72,            0.034644,            0.018965,           0.0015818,             0.91714,             0.83399,             0.91397,             0.57435,             0.03565,            0.020747,            0.003712,             0.03249,             0.03249,             0.03249
                  73,            0.034405,            0.018443,           0.0015706,             0.87858,             0.82124,             0.91232,             0.56761,            0.035085,            0.020994,           0.0031783,             0.03168,             0.03168,             0.03168
                  74,             0.03493,            0.018458,           0.0016482,             0.91562,             0.82662,             0.93244,             0.57853,            0.036153,            0.019049,           0.0033026,             0.03087,             0.03087,             0.03087
                  75,            0.034926,            0.019484,           0.0015857,             0.90187,             0.80913,             0.91588,              0.5676,            0.036368,            0.020179,           0.0033441,             0.03006,             0.03006,             0.03006
                  76,            0.034652,            0.018406,           0.0015344,              0.8881,             0.82873,             0.91346,             0.57935,            0.035523,            0.021114,           0.0031728,             0.02925,             0.02925,             0.02925
                  77,            0.034394,            0.018842,           0.0016143,             0.93489,              0.8376,             0.93307,             0.58126,            0.034572,            0.020212,            0.002837,             0.02844,             0.02844,             0.02844
                  78,            0.033772,            0.018048,           0.0014685,             0.94357,             0.81565,             0.93494,             0.58269,            0.035162,            0.019539,           0.0032596,             0.02763,             0.02763,             0.02763
                  79,            0.033636,             0.01829,           0.0015542,             0.91858,             0.83643,             0.93308,             0.57617,            0.035479,            0.019894,           0.0027286,             0.02682,             0.02682,             0.02682
                  80,            0.033378,            0.018232,           0.0015055,             0.92783,             0.84561,             0.93106,             0.57331,            0.035123,            0.020461,           0.0029089,             0.02601,             0.02601,             0.02601
                  81,            0.033315,            0.018312,           0.0014003,              0.9207,             0.80743,              0.9165,             0.57974,            0.035637,            0.021425,           0.0025841,              0.0252,              0.0252,              0.0252
                  82,            0.033138,            0.017805,           0.0014079,              0.9154,             0.80016,              0.9175,             0.57647,            0.036622,            0.020253,           0.0030397,             0.02439,             0.02439,             0.02439
                  83,            0.033235,            0.017685,            0.001395,             0.89929,             0.85822,             0.92826,             0.59026,            0.034047,             0.02058,           0.0024466,             0.02358,             0.02358,             0.02358
                  84,            0.032728,            0.018158,           0.0014846,             0.91574,             0.84117,             0.93353,             0.59054,            0.034745,            0.019629,           0.0025685,             0.02277,             0.02277,             0.02277
                  85,            0.032721,            0.017918,           0.0014786,             0.92658,             0.82606,             0.93137,             0.58536,            0.035486,            0.019489,           0.0033177,             0.02196,             0.02196,             0.02196
                  86,            0.032715,            0.017991,           0.0014217,               0.923,             0.83504,             0.93303,             0.59387,            0.034513,            0.019314,           0.0027363,             0.02115,             0.02115,             0.02115
                  87,            0.032097,            0.017415,           0.0012983,             0.93089,             0.82498,              0.9337,             0.59788,            0.034039,            0.019516,           0.0025063,             0.02034,             0.02034,             0.02034
                  88,            0.032071,            0.017471,           0.0012761,             0.90939,             0.82095,             0.92742,             0.59159,            0.034539,            0.020324,           0.0031337,             0.01953,             0.01953,             0.01953
                  89,            0.032007,            0.017465,           0.0012706,             0.93089,             0.83101,             0.93016,             0.59435,            0.035238,            0.020081,            0.002958,             0.01872,             0.01872,             0.01872
                  90,            0.031849,            0.017589,           0.0012815,             0.91473,              0.8068,             0.92571,             0.58707,            0.034417,            0.020006,           0.0035248,             0.01791,             0.01791,             0.01791
                  91,            0.031647,            0.017282,           0.0012783,             0.87622,             0.80583,             0.91254,              0.5841,            0.035077,            0.020016,           0.0039077,              0.0171,              0.0171,              0.0171
                  92,            0.031776,            0.017469,            0.001271,             0.86492,             0.83782,             0.91256,             0.57744,             0.03533,            0.020759,           0.0041622,             0.01629,             0.01629,             0.01629
                  93,            0.031062,            0.017318,           0.0013426,             0.87975,             0.83542,             0.92257,             0.58405,            0.034869,            0.020265,           0.0042306,             0.01548,             0.01548,             0.01548
                  94,            0.031111,            0.016694,           0.0012117,              0.9119,             0.83662,              0.9275,             0.58939,             0.03381,            0.020105,           0.0029682,             0.01467,             0.01467,             0.01467
                  95,             0.03115,            0.017219,           0.0012425,             0.90059,             0.84725,             0.92906,             0.58317,            0.034696,            0.019979,           0.0027729,             0.01386,             0.01386,             0.01386
                  96,            0.030849,            0.017414,           0.0011734,             0.92414,             0.83143,             0.93188,             0.59184,            0.033769,            0.019949,           0.0029995,             0.01305,             0.01305,             0.01305
                  97,            0.030837,            0.016607,           0.0013486,             0.91933,             0.81842,             0.92734,             0.58059,             0.03432,            0.020422,           0.0030758,             0.01224,             0.01224,             0.01224
                  98,            0.030219,            0.016695,           0.0012223,             0.91862,             0.83546,             0.93148,             0.59534,            0.033606,            0.019908,           0.0030515,             0.01143,             0.01143,             0.01143
                  99,            0.030358,            0.016734,           0.0011731,             0.90339,             0.84596,             0.92752,             0.58336,            0.034666,            0.020264,             0.00346,             0.01062,             0.01062,             0.01062
